filename,duration,text,gender,age_group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
male_0001.wav,6.540625,"When people live together in a society, these are there this results automatically.",Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
male_0002.wav,5.030875,"Payments, transactions, account statements and other things are happening online",Male,45-60,Tamil,Tamil Nadu,Karur,Post Graduate,Full Time,Information and Media
male_0003.wav,4.340625,Are there any discounts on Pakistan International Airlines flights now?,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
male_0004.wav,5.5070625,A few tributaries form marshy land in early dry season due to natural seepage,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
male_0005.wav,5.437625,The bridegroom presents the bride with gifts of clothing and jewellery,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
male_0006.wav,6.4688125,Rate my order of 5 packs Godrej Aer Power Pocket Bathroom Air Fragrance as 5 stars,Male,45-60,Odia,Odisha,Puri,Doctoral (PhD) or higher level,Full Time,Education and Research
male_0007.wav,3.450125,This was one of the challenges we faced.,Male,60+,Konkani,Goa,North Goa,Graduate,Full Time,Financial Services (Banking and Insurance)
male_0008.wav,4.7891875,Can I pay back my Car loan at Mahindra & Mahindra Financial Services,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
male_0009.wav,7.58,"In fact, my foundation to learn English language was not good in my childhood.",Male,18-30,Nepali,West Bengal,Kalimpong,Post Graduate,Part Time,Social service
male_0010.wav,4.1164375,She was there for Harry Potter in ways that nobody could have been.,Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
male_0011.wav,3.1555,to a place with completely different language and culture,Male,30-45,Malayalam,Kerala,Palakkad,Post Graduate,Full Time,Technology and Services
male_0012.wav,3.624375,Show list of vaccine center in district Deoghar for COVAXIN,Male,18-30,Bengali,West Bengal,Kolkata,Doctoral (PhD) or higher level,Full Time,Education and Research
male_0013.wav,8.6088125,or any new such belief or encounter if they encounter any new tradition about religion then they discuss that.,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
male_0014.wav,5.9428125,very hilarious sort of setups,Male,30-45,Hindi,Gujarat,Vadodara,Post Graduate,Full Time,Information and Media
male_0015.wav,3.9425625,What do you do to stay motivated and focused while writing?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
male_0016.wav,4.3000625,Large numbers of people migrated from rural areas,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
male_0017.wav,3.0600625,Can I get my order delivered after 2 Hours,Male,45-60,Telugu,Telangana,Hyderabad,Doctoral (PhD) or higher level,Full Time,Education and Research
male_0018.wav,8.2080625,Resend OTP to my EPFO registered mobile number 86074497614,Male,18-30,Bengali,West Bengal,Kolkata,Doctoral (PhD) or higher level,Full Time,Education and Research
male_0019.wav,6.1566875,have explored many habitable planets beyond Earth like Proxima Centauri,Male,45-60,Dogri,Jammu Kashmir,Jammu,Graduate,Full Time,Retail
male_0020.wav,4.29825,How is the availability of healthcare professionals in your state?,Male,60+,Marathi,Maharashtra,Solapur,Graduate,Full Time,Healthcare (Medical &amp; Pharma)
male_0021.wav,5.46425,Reorder Milk Ma Brown Bread with same quantity mentioned in the last order.,Male,18-30,Hindi,Maharashtra,Pune,Under Graduate Student,Freelance,Financial Services (Banking and Insurance)
male_0022.wav,11.3066875,"In Karnataka, as you go up north, due to excess heat in summers because of the deck and planes, the houses are built with mud to keep it cool.",Male,30-45,Kannada,Karnataka,Bangalore Urban,Post Graduate,Full Time,Education and Research
male_0023.wav,5.70175,"Although a French citizen, she has been brought up and lived most of her life in India.",Male,45-60,Nepali,Meghalaya,Ri Bhoi,Post Graduate,Full Time,Education and Research
male_0024.wav,6.254875,"Yes, it is a Gujarati book by Madurai called Kimball Ravenswood.",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
male_0025.wav,3.64325,The main educational institutions and opportunities are,Male,60+,Bengali,West Bengal,South 24 Parganas,Post Graduate,Other,Financial Services (Banking and Insurance)
male_0026.wav,9.2609375,"The International Rugby Football Board was founded in 1886, but rifts were beginning to emerge in the code.",Male,30-45,Maithili,Bihar,Sitamarhi,Graduate,Part Time,Education and Research
male_0027.wav,3.0443125,Can I invest in mutual funds through my Yono SBI?,Male,18-30,Assamese,Assam,Kamrup Metropolitan,Post Graduate,Full Time,Education and Research
male_0028.wav,3.2119375,especially the spice plantation and,Male,18-30,Konkani,Goa,South Goa,Post Graduate,Full Time,Technology and Services
male_0029.wav,4.4670625,that educated me about their marketing ways and strategies,Male,30-45,Urdu,Gujarat,Ahmedabad,Graduate,Full Time,Technology and Services
male_0030.wav,4.669625,Why vegetables and fruits are getting delivered next day when the estimated delivery is today?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
male_0031.wav,6.888125,"At least ten attackers with knives, dressed in black, attacked a train station in Kunming, China yesterday.",Male,18-30,Malayalam,Kerala,Malappuram,Graduate,Full Time,Technology and Services
male_0032.wav,4.1275,For any runner it is very important to control their heart rate.,Male,30-45,Maithili,Bihar,Darbhanga,Post Graduate,Full Time,Education and Research
